cell_nm	passed_qc	group
1CDS1_72	1	G1
1CDS1_73	1	early-S
1CDS1_74	1	early-S
1CDS1_75	1	G1
1CDS1_76	1	early-S
1CDS1_77	1	late-S/G2
1CDS1_78	0	NA
1CDS1_81	0	NA
1CDS1_82	1	early-S
1CDS1_83	1	early-S
1CDS1_84	1	early-S
1CDS1_85	1	late-S/G2
1CDS1_86	1	early-S
1CDS1_87	0	NA
1CDS1_88	0	NA
1CDS1_91	1	early-S
1CDS1_92	1	G1
1CDS1_93	1	G1
1CDS1_94	1	early-S
1CDS1_95	1	early-S
1CDS1_96	1	early-S
1CDS1_97	1	early-S
1CDS1_98	0	NA
1CDS1_101	0	NA
1CDS1_102	1	early-S
1CDS1_103	0	NA
1CDS1_104	1	early-S
1CDS1_105	1	early-S
1CDS1_106	1	early-S
1CDS1_107	1	early-S
1CDS1_108	1	early-S
1CDS1_111	0	NA
1CDS1_112	1	G1
1CDS1_113	1	G1
1CDS1_114	1	early-S
1CDS1_115	1	late-S/G2
1CDS1_116	1	late-S/G2
1CDS1_117	1	early-S
1CDS1_118	1	G1
1CDS1_121	0	NA
1CDS1_122	1	early-S
1CDS1_123	1	G1
1CDS1_124	1	early-S
1CDS1_125	1	early-S
1CDS1_126	0	NA
1CDS1_127	0	NA
1CDS1_128	1	early-S
1CDS1_131	1	late-S/G2
1CDS1_132	0	NA
1CDS1_133	1	early-S
1CDS1_134	1	early-S
1CDS1_135	0	NA
1CDS1_136	1	late-S/G2
1CDS1_137	0	NA
1CDS1_138	0	NA
1CDS1_141	1	early-S
1CDS1_142	1	early-S
1CDS1_143	1	late-S/G2
1CDS1_144	1	early-S
1CDS1_145	1	early-S
1CDS1_146	1	early-S
1CDS1_147	1	G1
1CDS1_148	1	late-S/G2
1CDS1_151	1	early-S
1CDS1_152	1	early-S
1CDS1_153	1	early-S
1CDS1_154	1	early-S
1CDS1_155	1	G1
1CDS1_156	1	early-S
1CDS1_157	1	early-S
1CDS1_158	1	early-S
1CDS1_161	1	early-S
1CDS1_162	1	late-S/G2
1CDS1_163	1	early-S
1CDS1_164	1	early-S
1CDS1_165	1	early-S
1CDS1_166	1	early-S
1CDS1_167	1	early-S
1CDS1_168	1	early-S
1CDS1_171	1	early-S
1CDS1_172	0	NA
1CDS1_173	1	early-S
1CDS1_174	1	G1
1CDS1_175	1	G1
1CDS1_176	1	late-S/G2
1CDS1_177	1	G1
1CDS1_178	1	early-S
1CDS1_181	1	G1
1CDS1_182	1	early-S
1CDS1_183	1	G1
1CDS1_184	1	early-S
1CDS1_185	1	G1
1CDS1_186	1	G1
1CDS1_187	1	late-S/G2
1CDS1_188	1	late-S/G2
1CDS1_191	1	late-S/G2
1CDS1_192	1	early-S
1CDS1_193	1	G1
1CDS1_194	1	early-S
1CDS1_195	1	early-S
1CDS1_196	1	early-S
1CDS1_197	1	early-S
1CDS1_198	1	G1
1CDS1_201	1	early-S
1CDS1_202	1	G1
1CDS1_203	1	G1
1CDS1_204	1	early-S
1CDS1_205	1	early-S
1CDS1_206	1	late-S/G2
1CDS1_207	1	G1
1CDS1_208	0	NA
1CDS1_211	1	late-S/G2
1CDS1_212	1	early-S
1CDS1_213	1	early-S
1CDS1_214	0	NA
1CDS1_215	1	late-S/G2
1CDS1_216	1	G1
1CDS1_217	1	early-S
1CDS1_218	0	NA
1CDS1_221	1	G1
1CDS1_222	0	NA
1CDS1_223	1	G1
1CDS1_224	1	late-S/G2
1CDS1_225	1	early-S
1CDS1_226	1	early-S
1CDS1_227	1	early-S
1CDS1_228	1	early-S
1CDS1_231	1	early-S
1CDS1_232	1	early-S
1CDS1_233	1	early-S
1CDS1_234	1	early-S
1CDS1_235	1	G1
1CDS1_236	1	late-S/G2
1CDS1_237	1	G1
1CDS1_238	1	early-S
1CDS1_241	1	early-S
1CDS1_242	1	late-S/G2
1CDS1_243	1	early-S
1CDS1_244	1	early-S
1CDS1_245	1	G1
1CDS1_246	1	early-S
1CDS1_247	1	late-S/G2
1CDS1_248	0	NA
1CDS1_251	1	early-S
1CDS1_252	1	late-S/G2
1CDS1_253	1	early-S
1CDS1_254	1	late-S/G2
1CDS1_255	1	late-S/G2
1CDS1_256	0	NA
1CDS1_257	1	late-S/G2
1CDS1_258	1	G1
1CDS1_261	0	NA
1CDS1_262	0	NA
1CDS1_263	1	late-S/G2
1CDS1_264	1	G1
1CDS1_265	1	G1
1CDS1_266	0	NA
1CDS1_267	0	NA
1CDS1_268	1	early-S
1CDS1_271	0	NA
1CDS1_272	0	NA
1CDS1_273	0	NA
1CDS1_274	1	early-S
1CDS1_275	1	late-S/G2
1CDS1_276	0	NA
1CDS1_277	1	early-S
1CDS1_278	0	NA
1CDS1_281	1	early-S
1CDS1_282	0	NA
1CDS1_283	1	early-S
1CDS1_284	1	G1
1CDS1_285	1	G1
1CDS1_286	1	G1
1CDS1_287	1	early-S
1CDS1_288	0	NA
1CDS1_291	0	NA
1CDS1_292	1	early-S
1CDS1_293	1	late-S/G2
1CDS1_294	1	early-S
1CDS1_295	1	early-S
1CDS1_296	0	NA
1CDS1_297	1	early-S
1CDS1_298	0	NA
1CDS1_301	0	NA
1CDS1_302	1	G1
1CDS1_303	1	late-S/G2
1CDS1_304	1	early-S
1CDS1_305	1	G1
